Task code,Task name,Family,Brand,Tagline,Sector,Founded / place / size,About,Audience,Price positioning,Personality,Palette,Typography,Voice,Values,Brand assets status
SB3-049-LAY,Northgrove - Wholesale lookbook and hang-tag system,Layout & Data,NORTHGROVE,Cut and sewn to outlast the season.,"Heritage workwear with cast metal hardware, wholesale to independent stockists plus direct sale, made in Burlington, Vermont.","Burlington, Vermont; canonical context for the repeat-client series.","NORTHGROVE is the repeat client for this benchmark series. The canonical client context is Burlington, Vermont, and this commission covers phase 2: wholesale lookbook, hang tags and launch collateral.","Buyers and wearers twenty eight to forty five who value provenance and construction over logos, and who read fabric and make before they read a brand mark.","Seventy four to one hundred twenty eight dollars per piece, mid premium wholesale and direct. Muted grounds, full frame photography that shows cloth and seam, and copy that leads on material and make. Deliberately clear of both the twenty four dollar fast fashion grid and the price free editorial luxury a buyer cannot work from.","heritage, honest, grounded, considered, local, durable","Charcoal #33352F
Workshop Olive #5E6844
Oat Cotton #D8CDB6
Forge Rust #9A5A38
Cast Pewter #8C8A85","Founders Grotesk Condensed Medium in Charcoal (#33352F) sets the wordmark beside the olive leaf glyph, look titles and lookbook headers: look title 30 pt, section head 18 pt, hang tag style name 11 pt. Freight Sans Pro Book carries the season statement, fabric and make notes at 9.5 pt on 14 pt leading, 7.5 pt on the tag. Freight Sans Pro Medium sets the linesheet price grid in tabular figures at 8.5 pt. Condensed belongs to the mark and titles only, never to body copy.","Understated and maker focused, provenance before promotion. Example line the brand would write: 'Ten pieces, cut and sewn in Burlington, meant to be worn hard.'","Locally made, built to last. Provenance and construction over logos, and partnerships that stay neighbourly.","The NORTHGROVE wordmark and olive leaf glyph are set. The whole capsule was shot flat, overhead, on a mid gray backdrop across two mornings, with the cast hardware shot separately on the bench. The collaborating club has no artwork left: its crest survives only as a photograph of an old wool pennant on a wall. Last season's hang tag exists as the printer's press file, same size and stock this year."
SB3-050-LAY,Maison Valcere - Brand story deck and campaign document,Layout & Data,Maison Valcere,One object at a time.,"Independent fine-jewellery house, made to order and sold by appointment, with a small stockist channel.","Founded 2014, in a room above a bookshop in Montreal, Quebec. Four people, one bench.","Maison Valcere is a four-person high-jewellery house working to order for marriages and milestones. Twenty two references sit in the current book, most cut and set in-house and shown by appointment above the shop. The house sells quiet, considered pieces to clients who return once a decade, not once a season.","Clients aged 35 to 60 buying for a marriage or a milestone, plus a short list of premium stockists. Considered, appointment-led buyers who research before they visit and expect the metal, stone and carat answered without asking.","Pieces run 900 to 6,500 dollars, positioned as appointment fine jewellery well above a mall counter and just below the named international maisons. Price is shown discreetly or not at all; the room and the book carry the value.","quiet, exacting, unhurried, neoclassical, discreet, assured","House Black #0B0B0D
Bench Ivory #F4F1EA
Signature White #FFFFFF
Fine Grey #8A8A8F
Warm Gold #C6A15B","The wordmark stays the letterforms recovered from the swing tag photograph, grave accent intact, kept as outlines. Didot LT Pro Roman (neoclassical serif with hairline serifs) sets display: 44 pt in the house story deck, 96 pt on the A2 poster, 64 px on the feed ad, caps tracked 120 units. Apercu Regular (grotesque) sets specifications and body: 11 pt on 16 pt leading in print, 22 px on screen. Never bold, never italicise a specification line.","Plain, precise, never salesy. States materials and provenance and stops. Example line: ""Eighteen karat white gold, set with a single old-cut stone, made to your hand.""","One object per canvas, honest materials, and a mark that reads as ours at every size. Restraint is the house, not decoration.","The original wordmark artwork left with the designer who set it a decade ago. The only surviving version is a photograph of an old printed swing tag, so the mark has to be recovered from that before it can be used again. No usable logo files, colour references or type spec survive; these guidelines are being reconstructed this season."
SB3-051-LAY,Nordheim Atelier - Showroom line-card system,Layout & Data,Nordheim Atelier,Cloth first.,"Independent designer atelier producing a small autumn winter ready-to-wear collection, sold to press and to a wholesale buyer list.","Founded 2019, a small atelier in Copenhagen, Denmark. A handful of people, twelve looks a season.","Nordheim Atelier is a designer-led studio in Copenhagen making a tight seasonal collection in wool, shearling and gabardine. FW26 is twelve looks, sold to press and to roughly thirty independent stores. The house builds one editorial look each season and carries it across everything a buyer and an editor see.","Fashion press and independent-store buyers aged 30 to 55. Readers who value cloth and construction over gloss, and who judge a collection on whether the range holds together.","Garments run 600 to 2,400 dollars, positioned as couture-adjacent designer ready-to-wear. Prices live only on the linesheet where buyers expect them; the collateral never discounts or shouts, since a sale treatment would strip the perceived value in a single spread.","restrained, editorial, documentary, material, rigorous, quiet","Ink #111112
Paper #EDEBE6
Cool Grey #6E7075
Halftone Grey #B9B7B2
Bone #DAD5CC","GT Sectra Fine (high contrast serif), 700, sets the season title at 34 pt and look names at 20 pt. Söhne Buch 400 (grotesque) sets fabric notes and the season note, 8.5 pt on 12.5 pt leading, captions 7.5 pt in Cool Grey (#6E7075). Söhne Mono 400 carries style codes and prices at 8 pt. The house signature is the recovered lockup: wordmark above a hairline rule with ATELIER in small caps tracked 12 percent. Never rebuild that wordmark in Söhne, never set a price in italic.","Spare and factual, closer to an investigative magazine than a catalogue. Names the fabric and the maker and leaves the rest. Example line: ""Undyed Gotland wool, cut on the straight, made in Copenhagen.""","One collection, not twelve pictures. The cloth is the argument, grayscale and printed texture serve it, and the range must read as one hand.","The wordmark exists in only one place: a single letterpress card from the first season, photographed. The original artwork is gone. The mark is a compound lockup (wordmark, a hairline rule, and ATELIER in small caps) and has to be recovered whole from that photograph. No live logo files or type spec survive."
SB3-052-LAY,Harbor Crest Realty - Open-house card campaign,Layout & Data,Harbor Crest Realty,Your first move up.,Residential real estate brokerage listing family homes across a suburban county.,"Founded 2011, in Rosewood, Calderon County. A nine-agent brokerage listing around forty homes a season.","Harbor Crest Realty is a nine-person residential brokerage in Rosewood, listing suburban family homes for owners and guiding first move-up buyers through them. The firm runs a steady volume of listings a year and wants one repeatable kit that makes every listing look like it came from the same firm.","Move-up buyers aged 30 to 45 making their first step up from a starter home, scrolling listings on a phone. Also the sellers who list with the firm and the six agents who work open houses.","Homes centre on the mid-market, with 14 Marlowe Crescent at 625,000 dollars and a 2.5 percent listing side. Positioned as sophisticated but approachable, not luxury and not discount: warm, legible, honest, with real facts and real room sizes shown plainly.","warm, straightforward, local, trustworthy, approachable, practical","Harbor Navy #1F3A5F
Crest Slate #4A5A6A
Warm Sand #E8DFCF
Paper White #FBFAF7
Signal Copper #C07A3E","National 2 (humanist sans), Bold, sets the address headline at 22 pt and the agent name at 14 pt on the A5 cards. Tiempos Text Regular (serif) sets the room facts and body at 9 pt on 13 pt leading. Prices and room sizes use National 2 Medium tabular figures, price 30 pt in Harbor Navy (#1F3A5F), contact line 8.5 pt. The open house date always sits in Signal Copper (#C07A3E). Never set the price in a serif, and never set a headline in all caps.","Plain, welcoming, benefit-led without hype. Speaks like a neighbour who knows the street. Example line: ""Four bedrooms, a garden that backs onto the ravine, and an open house this Sunday.""","Consistency across every listing, honesty in the photography, and collateral the brokerage can rebuild itself for the next home. The agent relationship is the product.","The firm is not rebranding. A current sign and business card are already in the field and are supplied as the basis, so the new kit must match what is out there rather than replace it. The open house card artwork is held by the printer as a press PDF; there is no central brand file beyond the sign and card reference."
SB3-053-LAY,Verranza Coastal Retreats - In-villa seasonal collateral,Layout & Data,Verranza Coastal Retreats,"The whole house, the whole coast.",Boutique luxury vacation-rental collection managing whole-property villas on the southern French coast.,"Liguria, Italy; canonical context for the repeat-client series.","Verranza Coastal Retreats is the repeat client for this benchmark series. The canonical client context is Liguria, Italy, and this commission covers phase 2: booking collateral and in-villa season cards.","Guests aged 40 to 65 booking a whole villa for a birthday, an anniversary or a multi-generation gathering, plus the travel agencies and private clients who book on their behalf. They have stayed in the real houses and will recognise anything that is not true.","Villas run 1,800 to 4,200 dollars a night depending on season, positioned against boutique hotels rather than other rentals. The grammar is generous space and quiet architecture, with rates carried in a discreet table rather than announced, so the collection never reads as an aggregator listing.","quiet, warm, believable, generous, unhurried, assured","Verranza Stone #D8C9B4
Deep Olive #4E5A43
Coast Blue #6E8CA0
Warm Charcoal #33302B
Linen #F3EEE4","Domaine Display Regular (high contrast serif) sets villa names at 28 pt with generous air, and the season label at 11 pt small caps tracked 10 percent. Whitney Book (humanist sans) sets amenity copy at 9.5 pt on 14 pt leading and rate conditions at 7.5 pt in Warm Charcoal (#33302B). The rate ladder uses Whitney Medium tabular figures at 9 pt so columns align. Never set a nightly rate larger than the villa name, and never set body copy in Domaine Display.","Calm, warm, understated. Describes what the house actually is at that hour, never oversells. Example line: ""Warm stone, a long terrace, and the pool in real afternoon light.""","Believable before impressive. One collection, not three holidays. Natural light, real shadow, honest water, and no fake high dynamic range or dyed pools.","The collection has a printed in-villa season card whose artwork is held by its printer as a press PDF, and a written owner note recording what the previous editor got wrong. There is no lost wordmark here; the constraint is photographic consistency across three villas shot on two trips by two people, with the second batch already worked on by an editor no longer used. The collection's one graphic mark is a small hand inked cove motif an artist drew for the founders, which survives only as a flatbed scan of the original inking and as the mark etched on Maison Aubine's door glass; it has never been redrawn or digitised, and the foil printer and the glass etcher need it as vector artwork. The contractual welcome provision left in every house exists only as a short still life set the manager shot on a villa's limestone counter."
SB3-054-LAY,Nimbadesk - B2B sell-sheet system,Layout & Data,Nimbadesk,"Support desk, minus the drama.",B2B help desk software sold per seat to IT and operations leads at fifty to five hundred person firms.,"Founded 2024, Denver, Colorado, an eleven person team fourteen months into private beta.","Nimbadesk is help desk software for the internal IT and operations teams that keep mid sized companies running. We replace the tangle of shared inboxes and half configured legacy tools with one queue, clear ownership and reporting a director can actually read. We sell to the person who has to defend the line item, so everything we show is real: real screens, real numbers, real periods.","IT and operations leads aged thirty to fifty at fifty to five hundred person firms who sign annual contracts and route the invoice past a finance director. They evaluate carefully, compare tiers before reading copy, and distrust hype.","Per seat tiers at 29, 79 and 249 dollars, with enterprise annual near 18,000. Mid market: above the free consumer tools, well below the enterprise suites, priced to be defended rather than impulse bought.","confident, evidence led, restrained, credible, plainspoken","Nimbus Ink #16233A
Signal Blue #2E6BE6
Slate #5B6B82
Mist #EEF2F8
Paper #FFFFFF
Verify Green #1FA971","Aeonik Bold (geometric sans) sets sell sheet headlines at 28 pt and launch post headlines at 72 px. Inter Regular (neutral sans) sets body at 10 pt on 14.5 pt leading in print and 28 px on screen, period footnotes 7.5 pt in Slate (#5B6B82). IBM Plex Mono Medium carries every metric and the tier table, hero figure 64 pt, so columns align. Never set a metric without its period beside it, and never set a headline in IBM Plex Mono.","Direct, specific, understated. Numbers carry the argument and every claim states its period. Example line the brand would write: ""Thirty one teams moved their queue to Nimbadesk this year. Here is what changed, and over what window.""","Evidence over theatre, and software a finance director would sign off without flinching.","No source files exist. The mark was generated by our first designer with an AI tool and delivered only as a flat picture, which is the single copy anywhere. There is no vector, no guideline document and no defined weight. Screenshots were captured ad hoc across the year at whatever scale the display was set to."
SB3-055-LAY,Alderwood Scholars Fund - Multi-center appeal campaign,Layout & Data,Alderwood Scholars Fund,Twenty years of after school.,An education charity running five after school learning centres and a small scholarship fund across greater Providence.,"Founded 2006, greater Providence, Rhode Island, four staff, a volunteer board and five centres.","Alderwood Scholars Fund runs five after school learning centres and a scholarship fund for students across greater Providence. This winter marks our twentieth year. The year end appeal carries roughly half our giving, and it works because donors trust that the money reaches the students rather than the overhead. We show our numbers plainly, name where every dollar went, and let the work speak.","Mission motivated donors aged forty five to seventy who give because they believe in the work. Several read the overhead ratio before the narrative and reward organisations that look like they spend on students, not on production.","Average gift 45 dollars, major asks 5,000 to 50,000. Community scale and grassroots: careful and credible rather than glossy, every visible dollar of production reading as an in house afternoon rather than an agency retainer.","careful, plainspoken, trustworthy, warm, unshowy","Evergreen #1E4034
Lamplight Gold #C8922E
Brick #9A4B34
Warm Stone #EDE6D8
Ink #2A2723
Cream #FBF7EF","Source Serif 4 Semibold (humanist serif) sets banner headlines at 96 px and the twentieth year milestone at 140 px in Evergreen (#1E4034). Myriad Pro Regular (humanist sans) sets body at 28 px on 38 px leading, captions 20 px, and the donation line at 34 px in Lamplight Gold (#C8922E). The spend breakdown uses Myriad Pro tabular lining figures at 26 px so columns reconcile on sight. Never set a dollar figure in italic, and never set the recovered crest lettering in Myriad.","Plain, specific, quietly proud. It credits students and staff, states periods on every figure, and never begs. Example line the brand would write: ""Last year, ninety students finished the programme. Here is where your gift went, line by line.""","Money goes to students, and the books reconcile in public.","The crest was drawn by a trustee in 2006 and the artwork files are long gone. The only surviving version is the enamel crest on the front wall of the Eastgate centre, which we have as a single handheld photograph. There is no vector, no guideline sheet and no recorded palette or type."
SB3-056-LAY,Lanternwood Folk Fest - Performer credential system,Layout & Data,Lanternwood Folk Fest,"Three stages, one field, after dark.","An independent three stage folk and roots music festival held on a farm outside Burlington, sixth edition.","outside Burlington, Vermont; canonical context for the repeat-client series.","Lanternwood Folk Fest is the repeat client for this benchmark series. The canonical client context is outside Burlington, Vermont, and this commission covers phase 1: performer passes and on-sale campaign.","A discovery led crowd aged eighteen to forty, scene literate rather than corporate, who buy on atmosphere and word of mouth and expect the field weekend to feel real rather than packaged.","Weekend general admission 145 dollars, VIP 320, roughly four thousand weekend tickets. Mid tier independent: energetic and coherent, a credible VIP tier without tipping into either luxury restraint or bargain flyer chaos.","energetic, warm, handmade, scene literate, unpretentious","Night Field #1B2A2E
Lantern Amber #E8A13A
Ember Red #C24634
Meadow #6E8B5B
Bone #F2EAD9
Dusk Ink #12181B","Display is Druk Condensed (Commercial Type) in Super weight for the festival name and the performer name, the condensed poster shout that is the Lanternwood signature. Founders Grotesk (Klim) Medium sets roles and access areas, Regular sets body. Founders Grotesk Mono Regular sets credential numbers and set times. On the credential: performer name 30 pt, role 13 pt, access areas 10 pt, body 8.5 pt on 12 pt leading, mono numbers 9 pt. Never set the performer name in the grotesque.","Warm, direct, a bit of grit. It talks up the discovery stages as loudly as the headliners and keeps sponsor and billing lines exactly as agreed. Example line the brand would write: ""Gates at five. Three stages till late. Come early for the names you will be bragging about next year.""","Give the discovery acts the poster space, and keep the weekend feeling like a field rather than a brand.","Our designer left in 2024 and took the logo files. The mark now survives only as a photograph of the painted canvas banner that has hung over the main stage since 2022. There is no vector, no source file and no written type or colour spec. Last year's photography was shot by two volunteers on two cameras with no brief."
SB3-057-LAY,Umbra Loft - After Dark event campaign,Layout & Data,Umbra Loft,"Downstairs, after dark.",An independent two hundred and fifty capacity basement live music room programming a nine night autumn jazz and after dark series.,"Founded 2021, a basement room under a former textile mill in Providence, Rhode Island, a small independent team.","Umbra Loft is a two hundred and fifty capacity basement room under an old mill in Providence, programming jazz and after dark nights for a crowd that finds us through friends and phones at eleven at night. This autumn we are running nine nights as one series rather than nine separate shows. It has to look like one thing, and it has to look like the room it actually is: dark, close and made by hand.","A scene literate, discovery driven crowd aged twenty one to thirty five, reached almost entirely on a phone late at night, who read polish as inauthentic and reward work that plainly comes from the room.","Tickets 18 to 32 dollars, capacity 250. Independent basement scale: deliberately made and high contrast, credible at a headline ticket without ever reading as corporate or sponsored programming.","dark, high contrast, raw, atmospheric, handmade, underground","Pitch #0E0E10
Ash #2A2A2E
Sodium #E4863B
Cold Signal #3F7C8C
Bone White #E9E4D8
Blood #8E2B24","Act names and dates set in Söhne Breit (Klim) Halbfett, all caps, blunt and oversized: this heavy wide grotesque is the After Dark signature. Archivo Narrow (Omnibus Type) Regular sets billing, door times and the room tables, SemiBold for the door line. A2 posters: act name 180 pt, date 46 pt, billing 18 pt, body 11 pt on 15 pt leading. Release posts: act name 150 px, date 54 px, door line 32 px. Never set an act name in Archivo Narrow.","Terse, atmospheric, unvarnished. It names the act, the night and the door and gets out of the way. Example line the brand would write: ""Doors 8. Downstairs. Two sets, one room, cash on the night.""","Everything comes from this room, on these nights, and it should never look like a bank's jazz sponsorship.","We build the look from our own archive, six photographs shot on six nights under six touring rigs, no two matching. Three headline acts sent their wordmarks only as photographs of tour shirts and a tote, which their managers say is all that survives. There is no defined palette, type or treatment yet, and last season's printed card exists only as the press PDF our printer returned."
SB3-058-LAY,Marisol Cove - Shoulder-season hospitality campaign,Layout & Data,Marisol Cove,The quiet side of the coast.,"A fourteen room boutique hotel on the bluff above a cove, selling nights and the dining room to couples and small groups.","Founded 2014, on the Mendocino coast of Northern California, run by two owners with nine staff.","Marisol Cove is a small clifftop hotel built around a path down to a private beach and a dining room people plan a trip for. There is no pool and no spa, and the point of the place is the light, the water and being left alone. The autumn and winter shoulder season is the first the owners are pushing properly.","Couples and small groups aged 30 to 55, experience led rather than amenity led, who book for the setting and the food and return in the quiet months.","Rooms run 340 to 620 dollars a night. Boutique premium, above a coastal inn and well below a resort or private estate. The rate is carried by the setting, not by facilities.","Serene, Understated, Warm, Coastal, Considered, Honest","Bluff Sand #E7DBC8
Cove Grey Blue #6E8894
Cypress #465448
Warm Ink #2C2621
Dusk Clay #C39A82","GT Sectra Fine (high contrast serif) Light sets display, and the wordmark keeps its small caps setting over the hairline wave rule, the Marisol signature. Ideal Sans (humanist sans) Book sets body, rates and captions, Medium for room names. Key visual: headline 88 px, tagline 34 px. Offer cards: room name 62 px, shoulder rate 40 px, body 26 px. Brochure: headline 36 pt, body 10 pt on 16 pt leading, rates 9 pt. Never set the rate in the serif.","Calm, plain and specific. It describes what is actually there and lets the reader picture it. Example line the brand would write: An hour before sunset the light comes off the water and the whole cove goes gold. That is when to walk down.","One place under one light. Every guest facing piece should read as the same specific cove, honest about a fourteen room hotel rather than dressed up as something grander.","The logo file was lost with the designer who drew it in 2019. The mark, a small caps wordmark over a hairline wave rule, survives only as the painted sign at the entrance, which the owners have photographed. Room photography is the owners' own phone frames plus licensed stock. No usable brand files remain beyond the sign photo."
SB3-059-LAY,Lumen Quarterly - Autumn editorial issue,Layout & Data,Lumen Quarterly,An issue you keep.,"An independent arts and culture quarterly, published four times a year around one long photo essay and its writing.","Published by Lumen House Press, a two person imprint in Portland, Maine, founded 2016.","Lumen Quarterly is a print magazine about art, craft and the people who make things along the coast. Each issue turns on one photo essay and about two thousand words of reporting. Readers pay for it because it is good to hold and worth keeping on a shelf, not for news.",Design literate readers aged 30 to 55 who buy the object as much as the article and renew a subscription because the magazine is made with care.,"Eighteen dollars a single copy, sixty dollars a year. An independent object priced above a newsstand title and below an art book, sold on typographic craft rather than volume.","Literary, Tactile, Measured, Curious, Crafted, Unhurried","Uncoated Paper #F3EEE3
Masthead Ink #1F3A3C
Charcoal #26262A
Rule Grey #9C968B
Signal Ochre #B4762E","Chronicle Display (Hoefler and Co) Light sets the masthead and openers, the refined high contrast serif that readers recognise before a word. Lyon Text Regular sets the essay body at a 62 character measure. Atlas Grotesk Regular sets captions, credits and folios, small caps for folios. Issue: masthead 64 pt, opener headline 40 pt, standfirst 14 pt, body 10 pt on 15 pt leading, captions 8 pt. Plate cards: plate numeral 18 pt, caption 9 pt. Never set body in Atlas Grotesk.","Considered, warm and exact, written like an essay rather than a pitch. Example line the brand would write: He has built the same hull the same way for forty years, and he still stops to look at the grain before the first cut.","Every issue should feel like the same magazine. Continuity of type, measure and picture treatment is the identity, and the reader should recognise Lumen before reading a word.","The house style guide was made by the magazine's first designer, who has left, and it is now a couple of issues out of date on type. The masthead artwork inside the guide is a flattened screenshot, so the only proper record of the wordmark is the printed cover, which has been scanned. The printer also returned last season's press file."
SB3-060-LAY,Aldervale Mutual - District insurance counter-card run,Layout & Data,Aldervale Mutual,Owned by the people we cover.,A policyholder owned mutual life insurer selling whole life and final expense through appointed producers.,central Vermont; canonical context for the repeat-client series.,"Aldervale Mutual is the repeat client for this benchmark series. The canonical client context is central Vermont, and this commission covers phase 1: producer sales and compliance kit.","Households aged 35 to 60 with modest savings, buying because they do not want to leave a burden. They trust plainness and distrust anything that reads like a sales pitch.","Premiums run 45 to 180 dollars a month, drop in comparison irrelevant. A regulated mutual at a modest, accessible band, deliberately not a private wealth manager and not a discount direct response mailer.","Sober, Trustworthy, Plain spoken, Institutional, Steady, Respectful","Ink Navy #1E2A3A
Slate #4A5560
Document Paper #F4F2EC
Mist Grey #C7CBC8
Heritage Green #3C6B54","Miller Text (traditional serif) Roman sets body and the compliance disclosure, the steady book face that keeps the card from reading as an advertisement. Benton Sans Regular sets labels, contact lines and rate figures, Medium small caps marks the recommended plan. Counter card: producer name 20 pt, district line 11 pt, plan figures 10 pt, body 9 pt on 13 pt leading, disclosure 6.5 pt on 9 pt leading. Never set the disclosure below 6.5 pt, and never italicise a premium.","Sober, plain and reassuring, written the way a trusted advisor speaks across a table. No exclamation, no urgency. Example line the brand would write: A whole life policy is a promise that holds its value, and the premium you start with is the premium you keep.","Nothing may read as an advertisement, and everything must survive the kitchen table. Compliance and honesty come before flourish, and the material should feel as dependable as the carrier behind it.","The printer who built the counter cards has closed, so the only counter card artwork that survives is the flat press PDF that went to press. Producer headshots are self submitted from personal phones and vary widely. Compliance owns the disclosure language and updates it when a state changes its rules."
SB3-061-LAY,Anvil and Oak - Gym opening member collateral,Layout & Data,Anvil and Oak,"Coached strength, nothing soft.",An independent strength and functional training studio selling coached memberships and drop in sessions.,"Providence, Rhode Island; canonical context for the repeat-client series.","Anvil and Oak is the repeat client for this benchmark series. The canonical client context is Providence, Rhode Island, and this commission covers phase 1: studio opening identity and member cards.","People aged 25 to 45 choosing coached strength work over a commodity gym, here to get strong, who value programming detail and competence over amenities.","Memberships run 110 to 185 dollars a month with a 28 dollar drop in. Roughly double a chain gym, priced on coaching. Confident and specific, neither a soft boutique wellness studio nor a discount chain.","Confident, Grounded, Unpretentious, Disciplined, Industrial, Direct","Anvil Black #14161A
Iron #2C2F35
Brass #B8863B
Ember #B5462E
Bone #E9E3D9","Druk Condensed (sans), Bold, sets the wordmark, athlete names and spotlight headlines: name 34 pt on the cards, headline 104 px on the spotlights. Atlas Grotesk (grotesque), Regular for body and Medium for labels: body 9.5 pt on 13 pt leading, field labels 7.5 pt letterspaced caps, spotlight body 26 px. Lift figures run Atlas Grotesk Medium tabular, 28 pt. The heavy condensed caps reversed out of Anvil Black are the signature. Never set an athlete name in Atlas Grotesk, and no italics on the figures.","Direct, plain and sure of itself, the way a good coach cues a lift. No hype, no percentages shouted. Example line the brand would write: Show up, do the work, add weight. We handle the programming so you can focus on the bar.","One mark, everywhere, complete and on the dark ground. The identity is the recovered wall mark used consistently, and the studio should always read as coached strength at its true price.","There is no logo file. The mark, an anvil silhouette inside a ring of lettering with an oak sprig crossing the anvil's horn, exists only as the sign painter's hand painted work on the studio's brick wall, which the coaches have photographed. Athlete portraits were shot by the coaches over three evenings and are not consistent. The old printer's press file is all that survives of the athlete card."
SB3-062-LAY,Apexguard - Product label and dealer collateral system,Layout & Data,Apexguard Surface Systems,Protection you can measure.,"Paint protection film, window tint and ceramic coating supplied to dealer groups and to independent installers who buy film by the roll.","Charlotte, North Carolina; canonical context for the repeat-client series.","Apexguard Surface Systems is the repeat client for this benchmark series. The canonical client context is Charlotte, North Carolina, and this commission covers phase 2: dealer labels and channel collateral.","Dealer group principals and fixed operations managers aged 35 to 55 deciding whether to put us on their reconditioning line, and independent installer owners aged 28 to 50 who buy film by the roll and post their own work. Behind both sits a vehicle owner aged 30 to 55 protecting a sixty thousand dollar car.","Full PPF installs 1,800 to 6,000 dollars, tint packages 400 to 1,200 dollars, film by the roll to installers 900 to 4,200 dollars. Premium performance tier, well above discount tint shops and deliberately not tuner.","Precise, Confident, Restrained, Technical, Modern, Credible","Graphite Black #191C21
Titanium White #F3F4F5
Steel Grey #6C7178
Silver Line #B9BEC4
Guard Bronze #B08A54","Neue Haas Grotesk Display (grotesque), 75 Bold, carries the mark, tier names and headings: label SKU 30 pt, tier name 16 pt, brochure headline 40 pt, subhead 15 pt. Whitney (humanist sans) sets every spec table and body: table 8 pt on 11 pt leading with tabular lining figures, warranty line 7 pt, brochure body 9.5 pt on 13.5 pt. Tight, near mechanical tracking on the bold caps is the Apexguard signature. Never italicize a performance number, and never set a SKU code in Whitney.","Plain, exact, performance led. States numbers and lets them carry. Example line the brand would write: Ten year warranty, self healing topcoat, 92 percent clarity retained. No exclamation points, no percentage flashes, no hype.","Performance stated honestly and warranted as written. One brand across every surface, from the top of a dealer deck to the end of a film box.","The rebrand mark was drafted for us by an earlier round and no working file survives. What we hold is a flat raster export of the drafted master mark and a phone photograph of the installer shop card that was printed from an earlier revision of it. The mark has to be recovered as real artwork before the rollout can carry it, and the three tier marks brought alongside so the family reads as one."
SB3-063-LAY,Kilnmore - Wholesale relaunch campaign,Layout & Data,Kilnmore,Made to be used.,A small matte glaze ceramics studio selling direct through its own online storefront and wholesale to independent home goods stockists.,"Portland, Maine; canonical context for the repeat-client series.","Kilnmore is the repeat client for this benchmark series. The canonical client context is Portland, Maine, and this commission covers phase 2: wholesale line sheets and storefront launch.","Direct buyers aged 28 to 50 who own two or three considered kitchen objects and are choosing between us and a comparable studio line, and independent home goods stockists whose buyers judge a range on whether the line sheet is legible and complete enough to order from.","Mugs 34 dollars, bowls 42 dollars, serving platter 96 dollars, four piece dinner set 180 dollars. Wholesale at roughly half of retail. Considered studio ceramics, not impulse marketplace and not gallery austerity.","Calm, Honest, Warm, Considered, Unfussy, Tactile","Bench Linen #EAE4D8
Kiln Ink #2B2723
Oatmeal #D8C8A9
Ash Grey #8C8B84
Cobalt Slip #3A4E6B","Tiempos Text (serif), Regular, sets the mark, headings and range names: deck heading 30 pt, deck body 11 pt on 16 pt leading, range sheet item name 10 pt, storefront banner headline 72 px, spec tile product name 48 px. Suisse Int'l (grotesque), Regular with Medium labels, sets every specification table and dimension line: range sheet spec 8 pt on 11 pt, tile dimensions 22 px, paid social body 24 px. Warm serif on Bench Linen cream is the Kilnmore signature. Never set a wholesale price in italic.","Plain and warm, the studio talking about its own work. Example line the brand would write: Thrown and glazed in small batches, made to be used every day. No sale language, no urgency, no exclamation points.","Honest materials shown plainly, and one line that reads as one line across every piece and every page.","The mark is a brush drawing inked years ago onto an unglazed clay tile, and the only version that exists is a photograph of that tile on the bench. There is no working file. The mark has to be recovered from the photograph as artwork the studio can use at any size before the relaunch can carry it. The written guideline survives, plus a phone snap of the shop counter kept as a warmth reference."
