Task code,Task name,Family,Legacy ID,Client brief,Outputs,Assets,Auto verifiers,Human verifiers,S3 prefix,Review page,Release status
SB3-029-PHO,Cape Marren - Shoulder-season tourism campaign,Photo & Image,PHOTO-29,"Coastal destination imagery for the quieter season

Cape Marren's campaign runs October to April. We need a welcoming coastal image set, but not sunshine or sea conditions that misrepresent that season. Six members have contributed photographs; suitable licensed coastal imagery can fill the declared context role.

Final handoff

 Shoulder-season destination poster: 1 named export. Cape Marren is identified. Stock coastal imagery is not labelled as a named member venue.

 Destination itinerary carousel: 6 named exports. Stops use the approved member names. The sequence supports a plausible visitor itinerary.

 Tourism member feature: 1 named export. The featured member is identified accurately. The imagery corresponds to that member or is explicitly illustrative.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",11,18,43,62,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-029-PHO__cape-marren-shoulder-season-tourism-campaign/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-29,held
SB3-030-PHO,Palewell Health - Licensed care image campaign,Photo & Image,PHOTO-30,"A restrained healthcare image set with a reliable clinical-lead cutout

Palewell needs photography that feels credible together, even though most of the set will be licensed and only one frame is owned. Please prioritise compatible camera scale, neutral balance and depth over a collection of individually attractive stock photographs.

Scope
1. Care-service information poster: 1 named export. The service wording stays within approved claims. The care contact is readable.
2. Care website header: 1 named export. Stock people are not identified as named clinicians. The service name is clear. The clinical lead has a clean hair edge on the deep brand ground.
3. Clinical lead transparent portrait: 1 named export. The portrait preserves the person in palewell_lead_frame.jpg. The shoulder edge has no visible halo.
4. Referral information panel: 1 named export. The referral steps follow approved copy. The clinical lead identity is accurate.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",7,35,27,31,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-030-PHO__palewell-health-licensed-care-image-campaign/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-30,held
SB3-031-VEC,Cordwain Overland - Identity master graphics,Vector & Print,VECTOR-01,"Recover three apparel graphics and prove they survive small reproduction

Cordwain has lost the working artwork for three overland graphics. We need a vector specialist who can recover what is actually in the references and make a useful garment-ready family, not deliver an unchecked automatic trace.

What we need back
- Recovered garment mark: 3 named exports. The geometry follows the authoritative source mark. The lettering is faithful to the source.
- Garment graphics application sheet: 1 named export. Placement scale matches the supplied garment constraints. The specified ink count is respected.
- Garment lookbook layout: 1 named export. The garment and graphic relationship is visible. The identity is consistent with the recovered masters.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",7,12,28,30,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-031-VEC__cordwain-overland-identity-master-graphics/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-01,held
SB3-032-VEC,Redecker Machine Works - Restored mark system,Vector & Print,VECTOR-02,"Restore a machineworks identity from a catalogue and an etched plate

Redecker's mark has a long history, but the source artwork has not survived. We have a 1974 catalogue and an etched plate to work from. We want the identity recovered carefully, not replaced with something that merely looks industrial.

The commission

 Engineering identity master: 1 named export. The mark preserves the surviving original identity. Letter counters remain open at the specified reproduction size.

 Machine identity plate: 1 named export. The plate information matches the supplied machine record. The production lettering is legible.

 Service document header: 1 named export. The company name is correct. The header leaves usable space for service content.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",5,7,20,22,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-032-VEC__redecker-machine-works-restored-mark-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-02,held
SB3-033-VEC,Apex Rally Club - Motorsport face and livery system,Vector & Print,VECTOR-03,"Six club badges rebuilt for pin and coin supplier review

Apex Rally Club needs six badge faces recovered from photographs for a pin and coin project. The references contain the colours and details we want to retain, but they are not reliable production drawings.

Deliverables
1. Motorsport face artwork: 6 named exports. The face design matches the named design record. The crest remains recognisable at the supplied reduction size.
2. Applied livery presentation: 1 named export. The graphics follow the vehicle panel boundaries. The livery hierarchy is readable at viewing distance.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",8,10,32,33,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-033-VEC__apex-rally-club-motorsport-face-and-livery-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-03,held
SB3-034-VEC,Meridian and Ash - Sticker artwork production masters,Vector & Print,VECTOR-04,"Coffee sticker collection: recover four designs, add two, prepare the cutting sheet

Four recovered designs + two new designs = one six-sticker collection for Meridian & Ash.

Please prepare
- Recovered sticker artwork: 4 named exports. The design preserves its photographed original. Interior negative space remains open at 55 mm.
- Original companion sticker: 2 named exports. The drawing belongs stylistically beside the recovered collection. Interior negative space remains open at 55 mm.
- Separate sticker cut contour: 6 named exports. The contour is offset 2.5 mm from the artwork edge. The minimum corner radius is 3 mm. This file contains one cutting contour.
- Transparent sticker proof: 6 named exports. The proof corresponds to its named vector artwork.
- Sticker imposed production sheet: 1 named export. The cut contours leave at least 10 mm clear from the sheet edge. Adjacent cut contours have at least 6 mm gutter. The CutContour layer can be selected separately from the artwork.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",20,7,92,64,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-034-VEC__meridian-and-ash-sticker-artwork-production-masters/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-04,held
SB3-035-VEC,Isla Verde - Monogram and wayfinding pictogram system,Vector & Print,VECTOR-05,"Resort identity recovery and a bilingual door-plate system

Isla Verde needs a specialist who is comfortable with both identity craft and production data. This is one coordinated job: recover the foil monogram, build the pictograms and make the bilingual plates fit the existing installation.

Final handoff

 Recovered Isla Verde monogram: 1 named export. The letterforms match the authoritative source. The inter-letter relationships preserve the original identity.

 Facility pictogram: 8 named exports. The symbol communicates the named facility. The symbol remains legible at 12 mm.

 Bilingual door plate: 25 named exports. The language pairing matches the schedule. The room identifier is unambiguous. The approved monogram is used.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",35,18,210,326,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-035-VEC__isla-verde-monogram-and-wayfinding-pictogram-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-05,held
SB3-036-VEC,Ridgeway Rovers - Football crest master system,Vector & Print,VECTOR-06,"Recover a football crest and its hand-drawn shirt lettering

Ridgeway Rovers wants its existing identity back in usable form. The crest needs to work at breast size and in one ink; the lettering comes from a set of 1990s drawings rather than a font we can buy.

Scope
1. Football club crest: 3 named exports. The club lettering matches the source. The crest details remain recognisable at shirt size.
2. Club number glyph: 10 named exports. The numeral is unambiguous at kit viewing distance. The glyph follows the founder's drawing.
3. Club letter glyph: 26 named exports. The letter follows the founder's drawing. The letter has no graph-paper artefacts.
4. Shirt and training-kit artwork sheet: 1 named export. The crest placement respects the supplied kit dimensions. The name-number hierarchy is usable on the shirt.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",41,8,200,165,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-036-VEC__ridgeway-rovers-football-crest-master-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-06,held
SB3-037-VEC,Wharfside Folk Festival - Restored festival identity,Vector & Print,VECTOR-07,"Bring our painted festival wordmark into a usable anniversary kit

Wharfside Folk Festival is twenty years old. The shed-painted wordmark is part of that history, and we want to retain its character across the handbill, cloth and supporting anniversary materials.

What we need back
- Recovered festival mark: 1 named export. The source lettering is preserved.
- Festival poster: 1 named export. The billing order follows the approved lineup. The event date is readable.
- Festival handbill: 1 named export. The venue details are readable at print size. The ticket action is visible.
- Festival shirt artwork: 1 named export. The ink limits follow the supplier note. The mark remains recognisable on the garment.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",6,16,24,25,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-037-VEC__wharfside-folk-festival-restored-festival-identity/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-07,held
SB3-038-VEC,Coble and Vane - One-color mark system,Vector & Print,VECTOR-08,"Distillery mark recovery and a matching founder portrait set

This is a focused identity-production commission for Coble & Vane. We need the existing mark recovered in colour and true one-ink form, alongside three founder photographs that currently disagree because of their lighting.

The commission

 One-colour packaging identity: 1 named export. The mark uses the approved one-ink treatment. The counter spaces remain open on the stated stock.

 Cask-release label artwork: 13 named exports. The release details match this record. The label respects the supplied packaging area.

 Packaging supplier application sheet: 1 named export. The ink treatment is unambiguous. The application scale is stated.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",17,20,102,171,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-038-VEC__coble-and-vane-one-color-mark-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-08,held
SB3-039-VEC,Halcyon Grid - Production logo family,Vector & Print,VECTOR-09,"Turn rough raster brand concepts into a credible SaaS identity system

Halcyon Grid is a small logistics software team. We have three AI-generated raster marks, but we do not yet have a usable identity. We need a designer to resolve the geometry, not preserve every artefact in those images.

Deliverables
1. Halcyon Grid logo variant: 3 named exports. The geometry preserves the master identity. The lettering is optically balanced.
2. Identity usage guide: 1 named export. The guide shows usable clear-space examples. The variant naming is unambiguous.
3. Team website identity application: 1 named export. The correct team names accompany their portraits. The parent and product identities have a clear hierarchy.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",7,18,27,30,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-039-VEC__halcyon-grid-production-logo-family/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-09,held
SB3-040-VEC,Evergreen Provisions - Restored crest system,Vector & Print,VECTOR-10,"Six painted crest lockups prepared for an apparel capsule

Evergreen Provisions needs the six painted crest lockups prepared for its small garment capsule. The brush character matters, but the artwork must hold at the actual garment width rather than only in a large presentation.

Please prepare
- Apparel crest production artwork: 6 named exports. The crest matches the authoritative painted reference. The brush character survives the reduction.
- Garment capsule application presentation: 1 named export. The graphic placement follows the garment schedule. The presentation distinguishes print artwork from illustrative mockup.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",8,14,32,33,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-040-VEC__evergreen-provisions-restored-crest-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-10,held
SB3-041-VEC,Cedar Commons - Farmers market identity restoration,Vector & Print,VECTOR-11,"Recover the market's apron mark and prepare our site photographs

Hello from Cedar Commons. We help run the farmers' market, and the apron print is the version of our mark people recognise. Could you help us get it into a form we can place cleanly, without a box around it?

Final handoff

 Farmers-market identity master: 1 named export. The source identity is preserved.

 Seasonal market poster: 1 named export. The market date is accurate. The location is readable.

 Market stall sign: 45 named exports. The trader name matches this stall record. The sign is legible at the intended stall distance.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",49,9,326,454,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-041-VEC__cedar-commons-farmers-market-identity-restoration/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-11,held
SB3-042-VEC,Static Union - Manufacturing artwork system,Vector & Print,VECTOR-12,"One streetwear graphic family adapted properly for four manufacturing methods

Static Union needs production-minded artwork adaptation for small goods. The same detailed drawing will not work unchanged as embroidery, enamel, a sticker and a woven label. We are looking for someone who understands those differences and can make deliberate reductions.

Scope
1. Manufacturing artwork: 4 named exports. The artwork respects the medium-specific vendor tolerance. The smallest reproduced detail remains open.
2. Supplier production guide: 1 named export. The intended medium is stated on the relevant page. The physical reproduction size is unambiguous.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",6,9,24,25,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-042-VEC__static-union-manufacturing-artwork-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-12,held
SB3-043-VEC,Maison Serault - Wordmark and monogram master set,Vector & Print,VECTOR-13,"Recover our jewellery wordmark from three disagreeing references

Maison Serault has three captures of the existing wordmark and monogram. They disagree in apparent colour and weight. We need a careful reconstruction of the identity, not an average of three photographs.

What we need back
- Maison Serault wordmark: 1 named export. The lettering preserves the authoritative source. Optical spacing is balanced at packaging size.
- Maison Serault monogram: 1 named export. The approved letter structure is preserved. The mark remains readable at its smallest application.
- Collection packaging label: 1 named export. The product naming follows the approved collection. The finish treatment respects supplier limits.
- House stationery application: 1 named export. The brand name is readable. The layout leaves practical writing space.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",6,7,24,26,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-043-VEC__maison-serault-wordmark-and-monogram-master-set/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-13,held
SB3-044-VEC,Ironway Run Club - Numbering and club mark system,Vector & Print,VECTOR-14,"Rebuild our club lettering and use it in the Founders Five bib run

Ironway Run Club's lettering comes from Del's 1994 drawings. We want the ten numerals, twenty-six letters and singlet logo made usable again, followed by the Founders Five bib production.

The commission

 Ironway club mark: 1 named export. The source club identity is preserved.

 Race numeral: 10 named exports. The numeral is distinguishable from similar digits at viewing distance. The numeral follows Del's 1994 drawing.

 Club letter glyph: 26 named exports. The letter follows Del's 1994 drawing. The weight is consistent with the restored set.

 Founders Five member bib: 39 named exports. The runner number matches this member. The number is the dominant visual.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",77,6,456,567,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-044-VEC__ironway-run-club-numbering-and-club-mark-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-14,held
SB3-045-VEC,Marchfield Exchange - Crest and engraving geometry system,Vector & Print,VECTOR-15,"Restore the Exchange crest and rebuild the suite-plate workflow

Marchfield Exchange is a listed 1911 building. The crest needs recovering from brass and letterhead references; the suite plates need updating from the 2019 production PDF. We are preserving an identity and an installation, not commissioning a redesign.

Deliverables
1. Marchfield shield-and-wreath crest: 2 named exports. The shield matches the authoritative source crest. The wreath matches the authoritative source crest. The original lettering is preserved.
2. Marchfield engraving artwork: 1 named export. The original crest identity survives the production simplification. Small counters remain open at 32 mm. The thinnest engraved stroke is at least 0.50 mm at a 32 mm crest width.
3. Suite plate: 15 named exports. The tenant name fits inside the plate trim. The approved shield-and-wreath crest is used. The artwork leaves a 12 mm clear margin.
4. Entrance plaque artwork: 1 named export. The crest is 180 mm across. Artwork stays at least 15 mm from each bolt centre. The building name is correct.
5. Lobby directory artwork: 1 named export. The crest is 120 mm across. Artwork leaves a 20 mm clear margin. Tenants appear in reconciled suite order.
6. Brass reproduction proof: 1 named export. The proof shows the crest on satin brass. The stated reproduction size is accurate. The proof identifies details that fail the 0.50 mm stroke limit.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",25,6,141,199,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-045-VEC__marchfield-exchange-crest-and-engraving-geometry-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-15,held
SB3-046-LAY,Kantyna Nova - Private dining menu and campaign system,Layout & Data,LAYOUT-01,"Private-dining cards, menu and opening materials for Kantyna Nova

We set one table a night at Kantyna Nova: one tasting, one wine flight. The plates were photographed during service, and now the private-dining bookings, menu and opening materials need to look as considered as the room.

Please prepare
- Tasting and wine menu: 1 named export. The fourteen approved courses appear in order on page 1. The forty-two wine entries are present on page 2. The wine grouping supports the pour sequence.
- Private-dining partner deck: 1 named export. The deck explains the private-dining offer. The price build-up follows approved copy.
- Reservations information sheet: 1 named export. The reservation wording is reproduced accurately.
- Opening feed post: 1 named export. Kantyna Nova is visibly identified. The approved booking action is readable.
- Opening story: 1 named export. The booking action remains in the safe area. The restaurant name is legible.
- Opening announcement banner: 1 named export. The opening information is accurate. The food remains the focal point.
- Guest pairing card: 14 named exports. The photograph shows the guest's assigned course. The complete wine designation fits at trim.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",27,19,142,225,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-046-LAY__kantyna-nova-private-dining-menu-and-campaign-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-01,held
SB3-047-LAY,Corner and Cure - Cold-case label system,Layout & Data,LAYOUT-02,"Cold-case labels and ordering tiles from our cafe's existing materials

Our sign is painted on a board screwed to the wall. Most of the food photographs were taken on a phone over the counter. Corner & Cure needs someone who can work carefully with those materials and turn them into a practical, consistent set.

Final handoff

 Cold-case label: 39 named exports. The allergen wording agrees with the approved item record. The item name is readable at label size.

 Marketplace item tile: 38 named exports. The photograph shows the named item. The restaurant identity does not obscure the dish.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",79,22,427,878,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-047-LAY__corner-and-cure-cold-case-label-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-02,held
SB3-048-LAY,Lumora Laboratories - Retail launch and paid social system,Layout & Data,LAYOUT-03,"Six-product retail launch: one image standard across store and paid social

Lumora Laboratories is preparing six products for specialty retail and a rebuilt store page. The photographs currently do not read as one line. We need the image foundations corrected and carried into editable launch material.

Scope
1. Retail product-page module: 6 named exports. The pack matches the named SKU. The approved benefit is readable.
2. Retail launch carousel: 6 named exports. The sequence differentiates the products. The brand appears on the opening page.
3. Paid social creative: 3 named exports. The approved product claim is unchanged. The shopping action is clear.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",18,11,69,136,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-048-LAY__lumora-laboratories-retail-launch-and-paid-social-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-03,held
SB3-049-LAY,Northgrove - Wholesale lookbook and hang-tag system,Layout & Data,LAYOUT-04,"A ten-look wholesale hang-tag run with properly matched product photography

Northgrove's fall capsule is heading to stockists. Our immediate need is a dependable hang-tag pack: the correct piece, its own image and the full make note on every card. The photography comes from two mornings that do not yet look like the same collection.

What we need back
- Wholesale capsule lookbook: 1 named export. Styles are identified accurately. The page sequence supports wholesale selection.
- Garment hang tag: 11 named exports. The garment facts match this style. The care wording remains readable at tag size.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",14,18,84,151,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-049-LAY__northgrove-wholesale-lookbook-and-hang-tag-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-04,held
SB3-050-LAY,Maison Valcere - Brand story deck and campaign document,Layout & Data,LAYOUT-05,"An appointment-season story deck with a consistent jewellery image library

Maison Valcere needs its house-story and campaign documents ready for the autumn appointment season. The bench photography spans two sittings, and it does not yet sit together as a collection.

The commission

 House-story presentation: 1 named export. The sequence communicates the house's approved story. The packaging shown matches the supplied artwork.

 House campaign poster: 1 named export. The campaign identifies Maison Valcere. The product remains recognisable.

 House campaign feed ad: 1 named export. The approved message is readable. The brand treatment reflects the stated price position.

 House campaign story: 1 named export. The action line remains inside the safe area.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",8,25,30,35,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-050-LAY__maison-valcere-brand-story-deck-and-campaign-document/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-05,held
SB3-051-LAY,Nordheim Atelier - Showroom line-card system,Layout & Data,LAYOUT-06,"Showroom line cards for twelve looks, with a controlled editorial treatment

Nordheim Atelier is preparing for buyer appointments. Twelve looks were photographed over two days, including two outside as the light changed. We need one grey editorial treatment, but wool, shearling and gabardine must still read as different materials.

Deliverables
1. Showroom line card: 13 named exports. The pictured style matches this record. Material information is readable. The trade price is easy to locate.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",14,19,90,170,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-051-LAY__nordheim-atelier-showroom-line-card-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-06,held
SB3-052-LAY,Harbor Crest Realty - Open-house card campaign,Layout & Data,LAYOUT-07,"Listing photography and six agent cards for 14 Marlowe Crescent

Harbor Crest Realty needs the house to look consistent across the listing and the open-house cards. The shooter has returned the rooms as captured; wall colour and window handling now vary from room to room.

Please prepare
- Agent open-house card: 7 named exports. The agent portrait matches the record. The property details match the fact sheet. The contact line is readable.
- Open-house property presentation: 1 named export. The rooms are shown truthfully. The enquiry information is unambiguous.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",10,28,56,95,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-052-LAY__harbor-crest-realty-open-house-card-campaign/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-07,held
SB3-053-LAY,Verranza Coastal Retreats - In-villa seasonal collateral,Layout & Data,LAYOUT-08,"Twelve seasonal villa cards and a coherent three-property image set

Looking at our Verranza photographs together, you could believe they describe three different holidays. Two trips, two photographers and a batch already edited elsewhere have left the collection inconsistent.

Final handoff

 In-villa seasonal card: 13 named exports. The season dates match this record. The villa information is unambiguous. The rate conditions are readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",14,32,90,170,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-053-LAY__verranza-coastal-retreats-in-villa-seasonal-collateral/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-08,held
SB3-054-LAY,Nimbadesk - B2B sell-sheet system,Layout & Data,LAYOUT-09,"Nimbadesk launch collateral using the current product build

We need the sell sheets, pitch deck and launch social to look like one product. There are eleven product captures in the pack, but the first job is to establish which belong to the current build and how they should be presented consistently.

Scope
1. B2B product sell sheet: 4 named exports. The stated metric preserves its qualification. The UI is a faithful supplied capture.
2. Product pitch deck: 1 named export. The narrative explains the customer problem before the offer. The claims follow approved copy.
3. Product launch post: 3 named exports. The product name is clear. The request-demo action is visible.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",11,29,50,64,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-054-LAY__nimbadesk-b2b-sell-sheet-system/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-09,held
SB3-055-LAY,Alderwood Scholars Fund - Multi-center appeal campaign,Layout & Data,LAYOUT-10,"Five-centre appeal banners with accurate local details and a recovered crest

Alderwood Scholars Fund needs one coordinated banner run for its five centres. The office must be able to trust each centre's name, address, hours and coordinator, not proofread five designs assembled independently from memory.

What we need back
- Centre appeal banner: 5 named exports. The beneficiary story matches the named centre. The programme amount agrees with the reconciled funding table. The donation action is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",6,46,23,57,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-055-LAY__alderwood-scholars-fund-multi-center-appeal-campaign/,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#LAYOUT-10,held
