task_id,task,full_title,description,family,difficulty,expected_tool_calls,distinct_tools,num_inputs,num_outputs,output_types,output_breakdown,price
AO-78,Hearthstone Brew Co. café menu,Hearthstone Brew Co. café menu: food-photo prep + logo vectorize + InDesign data-merge to print-ready PDF & high-res JPEG,"Grade and consistently crop five raw café food/drink photos, vectorize the Hearthstone Brew Co. wordmark, license a warm kraft-paper texture, then run the client's authored InDesign café-menu template through a data-merge against the menu CSV to produce a print-ready PDF and a high-res JPEG.",Layout & Data,T4_expert,29,17,8,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$45/hr
AO-79,Marlow & Vane property flyer batch,"Marlow & Vane property flyer batch: grade listing photos, vectorize the agency crest, and InDesign data-merge a listings CSV into per-property print flyers (PDF + high-res JPEG)","Grade four raw property photos, vectorize the Marlow & Vane crest, source a subtle linen texture, then run the client's authored InDesign flyer template through a data-merge against a four-listing roster CSV to batch-produce a print-ready PDF and per-listing high-res JPEGs.",Layout & Data,T4_expert,29,17,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$100
AO-80,Lanternwood Folk Fest 2026 program booklet,Lanternwood Folk Fest 2026 program booklet: sponsor-logo prep + performer-photo grade + InDesign data-merge to press-ready PDF,"Prep the Lanternwood Folk Fest sponsor logos (vectorize / transparent-cut) and grade the performer press photos, source a kraft cover texture, then run the client's authored multi-page InDesign booklet template through two data-merge passes against the schedule and sponsor CSVs to produce a press-ready PDF and a screen-quality PDF program guide.",Layout & Data,T3_complex,26,16,9,5,4,"PDF×2, image×1, vector(SVG)×1, data/file×1",~$70 est.
AO-81,Nimbadesk SaaS product sell sheets,Nimbadesk SaaS product sell sheets: grade product screenshots + vectorize logo + InDesign data-merge one row per product tier into print PDFs + high-res JPEGs,"Clean up and on-brand-tint three raw product-UI screenshots, vectorize the Nimbadesk logo, then run the client's authored one-page sell-sheet InDesign template through a data-merge against a product-tier CSV to produce a print-ready PDF and a high-res JPEG per tier.",Layout & Data,T2_moderate,23,13,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-82,Lumen Quarterly brand-consistency audit,Lumen Quarterly magazine issue: brand-guideline consistency audit of the laid-out pages against the supplied style guide (marked-up findings report),"Audit every page of the laid-out Lumen Quarterly issue proof against the supplied Lumen brand style guide and return a marked-up, page-referenced brand-consistency findings report listing each colour / logo / typography / imagery drift and the exact rule it breaks.",Layout & Data,T1_simple,10,6,4,3,2,"data/file×2, image×1",~$40 est.
AO-83,Halden Sleep mattress catalog pre-merge audit,"Halden Sleep mattress catalog pre-merge audit: validate SKU roster against the authored InDesign merge template, proof-render a sample spread, and emit a fix-list report","Audit Halden Sleep's mattress product roster CSV against the authored InDesign catalog merge template and the mandatory-spec checklist, run a proof data-merge of a sample spread to inspect for blank/overset frames, and emit a per-SKU validation findings report with a prioritized fix-list.",Layout & Data,T1_simple,14,10,16,4,3,"PDF×2, image×1, data/file×1",~$45 est.
AO-84,Verdafix industrial sealant labels,Verdafix industrial sealant labels: per-SKU/variant data-merge of a supplied InDesign label template to print-ready CMYK PDFs + hazard-panel photo prep,"Prep the supplied Verdafix product photos and hazard/barcode graphics, then run the client's authored InDesign master label template through a data-merge against a per-SKU/variant CSV to produce one print-ready CMYK-with-bleed PDF per label variant.",Layout & Data,T2_moderate,21,12,7,5,4,"vector(SVG)×2, image×1, PDF×1, data/file×1",~$60 est.
AO-85,Ironclad parts catalog pre-press audit,"Ironclad parts catalog pre-press audit: merge-proof render, spec-row extraction + CSV cross-check, overset/missing-field findings report","Render our authored InDesign parts-catalog template against the master parts CSV into a proof, then audit it page by page — read back every printed spec row, cross-check it against the source data, and hand back a flagged-pages findings note (each defective page keyed to its issue) plus a findings report calling out overset/clipped part numbers, blank spec cells, and section-count mismatches before we send ~100 pages to print.",Layout & Data,T1_simple,14,9,4,5,2,"data/file×4, PDF×1",~$45 est.
AO-86,Amberleaf Tea Studio,Amberleaf Tea Studio: vectorize two AI-generated tea-brand wordmarks + one ornamental crest into production-ready SVGs and derive a matching stand-up-pouch front-label base panel,"Clean and de-skew the client's three AI-generated tea-brand raster logos, trace them into crisp scalable SVG masters, derive one-color and halftone print variants of the crest, and produce a matching front-facing stand-up-pouch label base panel from the supplied pouch mockup.",Vector & Print,T3_complex,26,15,4,8,3,"vector(SVG)×4, image×2, data/file×2",~$70 est.
AO-87,Little Lighthouse charity tee,Little Lighthouse charity tee: rebuild two raster concept mockups into clean 3-spot-color screen-print separations (front chest + full back) as print-ready vector,"Rebuild the client's two flat raster tee concepts (front chest + full back) into clean, production-ready screen-print separations: isolate each of the 3 approved brand spot colors and force it to its exact PANTONE hex as a solid flat plate, vectorize every color layer, and export per-color separation vectors plus a combined proof PDF.",Vector & Print,T4_expert,36,10,4,10,3,"vector(SVG)×8, PDF×1, data/file×1",$5–$17/hr
AO-88,Ridgeline Rovers FC crest,"Ridgeline Rovers FC crest: clean up a phone-shot patch photo, vectorize the emblem, and build a factory-ready embroidery/patch vector package","Clean up the club's phone photo of a stitched sample crest, vectorize the emblem into razor-sharp scalable art at 3-6 inch patch size, reduce it to flat spot-color separations, and hand back a factory-ready SVG plus exported vector masters and a stitch-color reference gathered into a shared review folder.",Vector & Print,T3_complex,27,17,2,7,3,"vector(SVG)×3, image×2, data/file×2",~$75 est.
AO-89,LUMIÈRE MÉNAGE monochrome beauty brand mark,"LUMIÈRE MÉNAGE monochrome beauty brand mark: vectorize the supplied concept + build the full reversible variant system (master SVG, avatar, stacked lockup, one-color/mono-tint knockouts, print PNGs) with a font recommendation, palette recipe, and usage board","Clean and vectorize LUMIÈRE MÉNAGE's supplied flat monochrome logo concept into an editable SVG master, then assemble the full reversible variant system — black-on-white master, white-on-dark knockout, avatar/PFP crop, stacked lockup, one-color black print PNG, a mono-tint alt, a monochrome palette recipe, a font recommendation, and a usage board — all scalable from avatar to signage.",Vector & Print,T2_moderate,17,13,1,9,3,"image×5, data/file×3, vector(SVG)×1",$25
AO-90,Apexguard Auto Film,Apexguard Auto Film: vectorize the AI-drafted master + two sub-brand marks into production SVGs and assemble a multi-size die-cut vinyl decal sheet on the supplied cut-line template,"Clean and de-skew Apexguard's three AI-drafted PPF/tint logo rasters, trace them into crisp production SVG masters, derive one-color knockouts for vinyl weeding, then assemble a multi-size die-cut vinyl decal/sticker sheet by binding the vector marks and the approved-sizes CSV into the client's authored cut-line template and exporting a press-ready PDF + SVG.",Vector & Print,T4_expert,30,15,5,9,4,"vector(SVG)×5, data/file×2, image×1, PDF×1",$500
AO-91,Maison Valcere jewelry house,Maison Valcere jewelry house: vector & print-readiness audit of the supplied luxury wordmark pack against the brand guideline and press spec (marked-up findings report),"Audit the supplied Maison Valcere luxury wordmark pack (master SVG + raster export) against the brand guideline and the press/foil spec, and return a marked-up, region-referenced vector & print-readiness findings report listing every hairline-stroke, line-weight, palette, kerning and non-print-ready-path defect and the exact rule it breaks.",Vector & Print,T1_simple,16,9,4,3,3,"image×1, PDF×1, data/file×1",~$50 est.
AO-92,Wandergrain Supply screen-print pre-flight,"Wandergrain Supply screen-print pre-flight: audit 4 supplied traveller tee vectors for separation-readiness, registration & spot-color count, emit a marked-up seps report + print-shop go/no-go note","Pre-flight four supplied traveller-themed t-shirt vector graphics for screen-print separation readiness -- verify transparent backgrounds, count distinct spot colors per design, check for registration marks and thin-line survivability, vectorize/inspect to flag raster contamination -- and emit a marked-up per-design seps audit report with a go/no-go recommendation for the exposure room.",Vector & Print,T1_simple,20,10,5,4,3,"image×2, vector(SVG)×1, data/file×1",$15–$35/hr
AO-93,Torqex Industrial nameplate logo pack,"Torqex Industrial nameplate logo pack: print-readiness preflight audit of the supplied vector artwork (open paths, RGB, un-outlined text, stray points) into a marked-up findings report","Preflight-audit the supplied Torqex vector logo pack (.ai/.eps master, SVG, PDF, plus one-colour and reverse variants) against the manufacturer's nameplate print spec and return a marked-up, file-and-region-referenced findings report listing every open path, RGB colour, un-outlined text run, stray point, hairline stroke and background/bleed defect with the exact rule it breaks and a severity.",Vector & Print,T1_simple,16,9,7,3,3,"image×1, PDF×1, data/file×1",~$50 est.
AO-94,Vitalé wellness Reel: cut a captured talking-head…,"Vitalé wellness Reel: cut a captured talking-head into platform-ready 9:16 Reel, 9:16 Short and 1:1 feed cuts — quick-cut highlight, multi-platform resize","Take Vitalé Labs' raw single-take wellness talking-head, auto-cut it into a punchy highlight sizzle at a target duration, then export platform-ready 9:16 Reel, 9:16 Short and 1:1 feed versions plus a hook-and-hashtag post-caption note.",Video & Motion,T1_simple,12,7,3,5,2,"video×4, data/file×1",~$50 est.
AO-95,Voltcast tech-channel delivery QC,Voltcast tech-channel delivery QC: audit the outsourced editor's YouTube master + vertical cut against the channel delivery-spec sheet (timecode-referenced video findings report),"Audit the outsourced editor's Voltcast episode deliverables -- the 16:9 YouTube master and the 9:16 vertical cut -- against the channel's written delivery-spec sheet, and return a timestamp-referenced QC findings report (as a report PDF plus structured JSON) listing every spec drift: duration, resolution/fps, missing intro/outro, unsafe-margin overlays and off-brand text.",Video & Motion,T1_simple,13,7,4,3,3,"image×1, PDF×1, data/file×1",~$45 est.
AO-96,SentinelMesh AI cybersecurity SaaS product video,SentinelMesh AI cybersecurity SaaS product video: brand-graded demo cut with 30s promo + 15s teaser cutdowns and on-brand callout / end-card graphic plates,"Turn SentinelMesh's raw screen recordings, product b-roll, logo, and brand color reference into a polished 90-120s AI-cybersecurity SaaS demo cut plus a 30s promo cutdown and 15s teaser (with a vertical social reframe), and build on-brand lower-third / call-out / graded end-card graphic plates and a vector logo — all packaged onto a Firefly board for the Premiere handoff.",Video & Motion,T3_complex,20,16,7,10,4,"image×4, video×4, vector(SVG)×1, data/file×1",$900
AO-97,Pulsevault club-night recap,"Pulsevault club-night recap: assemble a 30s high-energy sizzle reel from supplied raw footage, graded cover frame + vector logo lockup","Take our raw club-night phone clips plus a hero cover still and venue logo, and assemble a post-ready 30-second high-energy recap: an AI sizzle cut reframed to 1080x1920, an event-info caption sheet, and a fully color-graded cover frame with a crisp vector logo lockup.",Video & Motion,T3_complex,28,18,6,5,4,"data/file×2, image×1, vector(SVG)×1, video×1",~$80 est.
AO-98,Velvet Hour Sessions live-set footage review,"Velvet Hour Sessions live-set footage review: multi-clip raw-concert audit, best-take selection + unusable-clip cull, delivered as a shot-selection log with a flagged-frame contact-sheet PDF","Review every raw concert clip from the Velvet Hour Sessions multi-cam shoot, judge keepers vs unusable takes, and deliver a structured shot-selection log (per-clip verdict, reason, best usable stretch, usability rating, coverage tag) plus a contact-sheet PDF of the flagged best-take frames.",Video & Motion,T1_simple,13,9,14,3,2,"PDF×2, data/file×1",$25
AO-99,Lunara Silver Reel repurpose pack,"Lunara Silver Reel repurpose pack: reframe one product-showcase clip to 9:16 / 1:1 / 16:9, AI sizzle cutdown, caption sheet + vectorized wordmark end-card asset","Take Lunara Silver's one raw vertical pendant-showcase clip, product hero still, and flat wordmark PNG, and repurpose them into a platform pack: 9:16 / 1:1 / 16:9 reframes of the clip (same runtime), an AI sizzle cutdown for the Meta ad, a caption/scheduling sheet, and a graded end-card still with a vectorized wordmark.",Video & Motion,T3_complex,22,16,3,8,4,"video×4, data/file×2, image×1, vector(SVG)×1",~$70 est.
AO-104,Northwind Advisory corporate headshots,Northwind Advisory corporate headshots: batch retouch + grade a 3-frame studio session into LinkedIn/website/print deliverables with clean black-and-white alternates,"Batch-retouch and colour-grade three raw studio headshot frames of one Northwind executive into a consistent set of fully-finished colour portraits, then produce clean black-and-white alternates and the LinkedIn / website / print-ready crops, delivered in one review folder.",Photo & Image,T4_expert,43,13,4,19,2,"image×18, data/file×1",~$105 est.
AO-105,Nocturne Sessions duotone gig poster,Nocturne Sessions duotone gig poster: two-tone artist-photo FX + wordmark vectorize + InDesign template merge to print PDF/JPEG,"Give the raw band press photo a bold two-tone (duotone) FX treatment, vectorize the supplied Nocturne Sessions wordmark, then run the client's authored InDesign gig-poster template through a data-merge against the event-copy CSV to export a print-ready PDF and a high-res JPEG.",Photo & Image,T1_simple,16,15,5,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$25
AO-106,Nordheim Atelier FW26 editorial poster series,Nordheim Atelier FW26 editorial poster series: duotone/halftone grayscale-cutout treatment of four runway looks into print-ready posters,"Cut four raw runway looks off their backgrounds, drive each to a consistent grayscale duotone/halftone editorial treatment with grain and a signature yellow accent, vectorize the wordmark, and run the client's authored InDesign poster template through a data-merge to produce four print-ready poster PDFs and high-res JPEGs.",Photo & Image,T4_expert,40,15,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",$500
AO-107,Deli & Dough Uber Eats hero banner,"Deli & Dough Uber Eats hero banner: grade + cut out four supplied deli shots, source a butcher-paper backdrop, vectorize the wordmark, and bind into an authored 2880x2304 banner template for print-ready export","Grade four raw deli photos to one cohesive gritty-warm look, cut the hero sandwich onto transparency, source a butcher-paper backdrop, vectorize the Deli & Dough wordmark, and bind all the prepped parts into the client's authored 2880x2304 Illustrator banner template to export a print-ready Uber Eats hero banner.",Photo & Image,T4_expert,29,16,8,5,3,"image×3, vector(SVG)×1, data/file×1",$20–$40/hr
AO-109,Kantyna Nova website photo grade,Kantyna Nova website photo grade: batch-retouch 8 raw restaurant food photos to a cohesive premium look + desktop/mobile crops,"Batch-retouch eight raw restaurant food photos to one cohesive premium color grade, straightened and cleaned up, then deliver desktop (16:9) and mobile (4:5) crops of each plus a review board for owner sign-off.",Photo & Image,T4_expert,39,15,9,5,2,"data/file×3, image×2",~$95 est.
AO-110,Summit & Sable eCommerce catalog,Summit & Sable eCommerce catalog: batch color-grade six product shots to house look + recolor hardware/label accents without reshoot,"Batch color-grade six existing Summit & Sable product photos to one consistent house look, then non-destructively recolor the recovery-strap hardware and label accents on two hero shots — keeping lighting, shadow and texture natural — and export web-ready catalog images plus a review board.",Photo & Image,T3_complex,33,11,7,4,2,"image×3, data/file×1",$8–$45/hr
AO-111,"Restore a Faded, Scratched Family Keepsake Photo to…","Restore a Faded, Scratched Family Keepsake Photo to a Framed A4 Print","Restore one treasured, faded and scratched 1970s family keepsake scan -- correct the color cast and faded contrast, recover clarity/detail, conceal scratches over the plain backdrop -- and deliver a framed-A4 print-ready file with a before/after approval board.",Photo & Image,T1_simple,17,17,1,2,2,"image×1, link/board×1",~$55 est.
AO-112,SlabVault graded-card Shopify batch,"SlabVault graded-card Shopify batch: background removal onto clean white, straighten, center, and 2048x2048 export","Cut six iPhone-shot graded trading-card / hobby-box photos out of their cluttered backgrounds, straighten and tone them, place each on a clean pure-white background, and export a consistent 2048x2048 square set (plus transparent PNG cutouts) named to match the store's Shopify product handles.",Photo & Image,T4_expert,37,10,7,4,2,"image×2, data/file×2",$5–$50/hr
AO-113,Loomhearth flat-lay apparel,Loomhearth flat-lay apparel: batch background cut-outs + consistent mid-gray marketplace pack,"Take six already-shot raw overhead flat-lay apparel photos, straighten and color-true each, cut every garment cleanly off its cluttered surface, place them all onto one consistent flat mid-gray backdrop, and export a high-res + web-ready square marketplace pack.",Photo & Image,T4_expert,49,13,6,4,2,"image×3, data/file×1",~$115 est.
AO-114,"Lumora ""Dewdrop"" lip-oil color-variant set","Lumora ""Dewdrop"" lip-oil color-variant set: cut out on white, recolor one hero shot into 8 shade variants + spec sheet","Clean up and cut out one raw phone shot of the Dewdrop lip-oil bottle onto a white e-commerce background, then recolor the translucent oil into 8 on-brand shade variants while keeping the metallic collar, cap, and lighting/shadow identical across all of them, and emit a variant spec sheet.",Photo & Image,T2_moderate,23,15,3,3,2,"image×2, PDF×1",~$65 est.
AO-115,Rukmini Silverworks 925 jewelry catalog,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),"Batch-process six raw 925-silver SKU photos into consistent, cast-free, pure-#FFFFFF e-commerce images — isolate each piece, grade the metal so it reads crisp, and deliver a transparent PNG plus a 3000x3000 white-background JPEG per SKU.",Photo & Image,T4_expert,47,15,7,4,2,"image×2, data/file×2",~$115 est.
AO-116,Umbra Loft noir concert-series poster art,Umbra Loft noir concert-series poster art: three archival live shots driven to a matched two-tone amber/ink duotone + halftone treatment for print and social,"Take three flat archival live-performance photos and drive all three to a matched noir two-tone (amber-highlight / deep-ink-shadow) duotone treatment with halftone texture and film grain, then deliver each as a print-ready poster-ratio image and a square social crop plus a packaged set and a review board.",Photo & Image,T3_complex,36,12,4,4,3,"image×2, ZIP×1, data/file×1",~$90 est.
AO-117,Marisol Cove boutique-hotel homepage hero,"Marisol Cove boutique-hotel homepage hero: license widescreen stock, crop desktop + mobile banners, grade to warm coastal look, place vectorized logo, InDesign export to web JPEG/PNG + print PDF","License a large widescreen coastal stock photo, crop it into desktop and mobile homepage hero frames, grade both to a warm coastal look, place the client's vectorized Marisol Cove logo, and export web-ready JPEG/PNG banners plus a print-ready PDF proof from the client's authored InDesign banner template.",Photo & Image,T2_moderate,18,15,3,6,4,"image×3, vector(SVG)×1, PDF×1, data/file×1",$15
AO-118,Fizzwild kombucha website hero + banner set,"Fizzwild kombucha website hero + banner set: license oversized stock beverage shots, reframe to exact hero/header/CTA/banner sizes, grade to one cohesive family, deliver web-ready pack + style reference","License oversized beverage/lifestyle stock photos, reframe them DOWN to Fizzwild's desktop-hero / mobile-hero / section-header / CTA-card / promo-banner slots at exact pixel sizes, grade them into one cohesive vibrant family, vectorize and cut out the supplied wordmark, and deliver a web-ready pack plus a style reference so future assets stay consistent.",Photo & Image,T3_complex,29,12,3,10,4,"image×6, data/file×2, vector(SVG)×1, ZIP×1",~$75 est.
AO-119,Harbor Crest Realty website visual refresh,"Harbor Crest Realty website visual refresh: license one large Adobe Stock architecture hero, brand-grade it, crop/reframe into desktop + tablet + mobile heroes, section headers and banner ads, and vectorize the logo for placement","License one large Adobe Stock architecture photograph, brand-grade it to the Harbor Crest palette, then crop/reframe that single graded master into a desktop hero, tablet hero, mobile hero, two section-header strips, and two promo banner sizes, vectorize the client logo, and package the cohesive web-ready set with a font recommendation and a review board.",Photo & Image,T3_complex,22,16,4,11,3,"image×8, data/file×2, vector(SVG)×1",~$65 est.
AO-120,NOURA daily-greens DTC paid-social video ad package,"NOURA daily-greens DTC paid-social video ad package: UGC talking-head mashup cut with multi-hook variants, 9:16 / 1:1 / 16:9 reframes, on-brand caption / callout graphic plates, and a graded scroll-stopper thumbnail","Turn NOURA's batch of raw UGC creator talking-head clips plus product b-roll, a flat wordmark, a thumbnail hero still, a brand color reference, and a hooks/captions brief into a paid-social ad package: an AI mashup master cut plus two tighter hook-variant reels, each reframed to 9:16 / 1:1 / 16:9 (same length), on-brand lower-third and callout graphic plates plus a vector logo, a fully graded scroll-stopper thumbnail, and a caption cue sheet — all copied into one handoff folder with a client share link.",Video & Motion,T4_expert,27,19,10,11,4,"image×4, video×4, data/file×2, vector(SVG)×1",~$75 est.
AO-121,Sable & Finch Realty listing tour,"Sable & Finch Realty listing tour: branded 16:9 master property walkthrough with 9:16 reel + 1:1 square cutdowns, color-match grade reference, YouTube thumbnail, and on-brand lower-third / end-card graphic plates","Turn Sable & Finch Realty's four raw handheld property-walkthrough / exterior clips, flat logo, warm brand look-reference, shot list, and listing copy into a branded listing tour package: a polished ~90s 16:9 master (sequenced best shots), a 9:16 reel and 1:1 square social cutdown, a graded color-match reference the editor matches every clip to, a 1280x720 YouTube thumbnail, a vector logo plus on-brand lower-third and end-card graphic plates and type spec, all packaged onto a Firefly board and into a dated CC handoff folder.",Video & Motion,T4_expert,33,23,8,12,4,"image×5, video×3, data/file×3, vector(SVG)×1",~$90 est.
AO-122,Ember & Oak wood-fired restaurant sizzle reel,"Ember & Oak wood-fired restaurant sizzle reel: warm-graded sizzle cut with 9:16 + 1:1 reframes, menu title-card / price-callout graphic plates, hero cover thumbnail, and an animated logo end-card","Turn Ember & Oak's four raw dish/kitchen b-roll clips, a flat plated-hero still, a flat logo, a menu-callout CSV and a brand brief into a fast, mouth-watering wood-fired sizzle reel — an AI sizzle-cut master plus 9:16 and 1:1 reframes, a warm-graded hero cover thumbnail, on-brand menu title-card / price-callout graphic plates, a vector logo and an animated logo end-card — all packaged into a Creative Cloud handoff folder with a client review link.",Video & Motion,T4_expert,34,26,8,9,4,"video×4, image×3, vector(SVG)×1, data/file×1",$10–$20/hr
AO-123,Meridian Academy online-course explainer edit,"Meridian Academy online-course explainer edit: assemble a talking-head lecture + slide / spreadsheet screencasts into a clean 16:9 lesson master, a 9:16 promo cut, a graded course thumbnail, and intro / lower-third / caption graphic plates","Turn Meridian Academy's raw Lesson 4 material — a talking-head lecture clip plus slide-deck and spreadsheet screencasts, a logo, a brand look-reference, a cut-list brief, and a captions sheet — into a clean 16:9 lesson master (filler trimmed, cut between presenter and slides via a real video_render timeline), a 9:16 promo highlight, a graded 1280x720 course thumbnail (grabbed from the master), and on-brand intro title-card / lower-third / key-point-caption graphic plates plus a vector logo, all packaged onto a Firefly board and into a dated CC handoff folder for the final NLE polish.",Video & Motion,T4_expert,29,20,7,11,4,"image×5, data/file×3, video×2, vector(SVG)×1",~$80 est.
